Time,Mid,Min,Max
-541,5.652791195,0.068938797,15.32747735
-540,5.856000729,0.21956114,14.30396399
-539,5.55432268,0.331930768,13.31391611
-538,5.01820852,0.386898681,12.43302671
-537,4.266093305,0.255879051,11.93571316
-536,3.681703267,0.112310826,11.72987031
-535,3.38933465,0.185207498,11.70008154
-534,3.72347536,0.691146909,11.70005995
-533,4.587499238,1.693243305,11.77677104
-532,6.52045292,2.89248735,12.2990911
-531,9.298314538,3.817567985,13.2163593
-530,10.77152607,4.303101176,14.05282754
-529,9.923291214,4.502534523,14.56221547
-528,9.431737684,4.648679586,15.04956546
-527,11.12836903,4.756432168,15.92661921
-526,12.75246566,4.819242984,16.85605177
-525,13.14825444,4.83849769,17.22216027
-524,12.36675064,4.53141334,16.67694048
-523,10.1789871,3.478460161,15.35392872
-522,7.16354775,2.037508556,13.72893346
-521,4.409251625,1.083727246,12.43934593
-520,4.386809113,1.588974872,11.81283003
-519,6.565937199,2.858234456,11.70096738
-518,7.847137288,3.903509356,11.70018848
-517,7.592260916,4.084340802,11.70016119
-516,6.889143792,3.850321998,11.70007424
-515,6.348239499,3.782621434,11.74205989
-514,6.971355239,3.90309623,12.03614074
-513,8.892523495,4.070801197,12.56751494
-512,9.967184958,4.128894757,12.984498
-511,9.342260575,4.066237294,12.91662257
-510,8.085395479,3.867521918,12.42290106
-509,7.044116932,3.70867876,11.94428246
-508,6.681383348,3.689712308,11.72957756
-507,7.117653114,3.734761742,11.70009717
-506,7.125231819,3.557276201,11.7
-505,6.121617044,3.127073234,11.7
-504,5.315893551,2.845620315,11.7
-503,5.443988643,2.90165554,11.7
-502,5.733303246,3.202327765,11.7
-501,5.900997269,3.495370518,11.7
-500,6.183295899,3.763233123,11.70300904
-499,6.720330393,4.155028571,11.83025414
-498,7.661677038,4.785467214,12.35531161
-497,9.030843017,5.52014402,13.37050059
-496,10.71373378,6.148315963,14.76814084
-495,12.62266183,6.52481728,16.18099657
-494,14.05069629,6.695427197,17.28079261
