Age,CO2,Proxy
204.9,1472,STOMATA
171.2,990,STOMATA
171.2,954,STOMATA
60.0,322,STOMATA
65.5,418,STOMATA
65.9,429,STOMATA
67.0,649,STOMATA
23.0,516,STOMATA
23.0,425,STOMATA
28.5,390,STOMATA
32.98,550,Marine Boron
33.17,710,Marine Boron
33.33,890,Marine Boron
33.47,930,Marine Boron
33.59,690,Marine Boron
33.96,870,Marine Boron
34.21,960,Marine Boron
34.42,940,Marine Boron
34.63,810,Marine Boron
0.00,266,Marine Boron
0.46,293,Marine Boron
0.90,278,Marine Boron
1.50,279,Marine Boron
2.11,274,Marine Boron
2.59,258,Marine Boron
2.79,283,Marine Boron
2.89,399,Marine Boron
2.99,402,Marine Boron
3.05,428,Marine Boron
3.17,336,Marine Boron
3.50,366,Marine Boron
1.98,219,Marine Boron
2.03,262,Marine Boron
2.08,246,Marine Boron
2.16,221,Marine Boron
2.17,383,Marine Boron
2.20,386,Marine Boron
2.30,238,Marine Boron
2.50,367,Marine Boron
2.56,310,Marine Boron
2.60,203,Marine Boron
2.69,194,Marine Boron
2.70,358,Marine Boron
2.71,314,Marine Boron
2.71,238,Marine Boron
2.71,334,Marine Boron
2.75,300,Marine Boron
2.77,404,Marine Boron
2.78,418,Marine Boron
2.78,316,Marine Boron
2.80,314,Marine Boron
2.92,241,Marine Boron
3.00,354,Marine Boron
3.07,265,Marine Boron
3.08,411,Marine Boron
3.10,249,Marine Boron
3.16,233,Marine Boron
3.22,242,Marine Boron
3.24,330,Marine Boron
3.26,252,Marine Boron
3.32,274,Marine Boron
3.40,255,Marine Boron
3.41,251,Marine Boron
3.47,292,Marine Boron
3.54,329,Marine Boron
3.59,282,Marine Boron
3.72,310,Marine Boron
3.79,288,Marine Boron
3.87,408,Marine Boron
3.96,295,Marine Boron
4.04,334,Marine Boron
4.12,394,Marine Boron
4.58,425,Marine Boron
12.28,190,Marine Boron
12.72,223,Marine Boron
13.25,244,Marine Boron
13.48,243,Marine Boron
13.72,240,Marine Boron
13.83,257,Marine Boron
14.17,268,Marine Boron
14.31,272,Marine Boron
14.80,374,Marine Boron
15.04,332,Marine Boron
15.56,298,Marine Boron
15.87,392,Marine Boron
16.38,225,Marine Boron
11.80,247,Marine Boron
13.60,232,Marine Boron
14.94,346,Marine Boron
13.70,250,Marine Boron
13.74,255,Marine Boron
13.74,230,Marine Boron
13.77,301,Marine Boron
13.79,283,Marine Boron
13.80,311,Marine Boron
15.54,300,Marine Boron
15.60,442,Marine Boron
15.61,469,Marine Boron
15.63,330,Marine Boron
15.65,294,Marine Boron
15.69,287,Marine Boron
15.72,505,Marine Boron
15.76,291,Marine Boron
15.77,315,Marine Boron
15.81,520,Marine Boron
15.84,435,Marine Boron
15.89,281,Marine Boron
15.95,291,Marine Boron
15.96,318,Marine Boron
15.98,595,Marine Boron
15.99,322,Marine Boron
16.06,293,Marine Boron
16.12,406,Marine Boron
16.15,309,Marine Boron
16.18,271,Marine Boron
16.21,236,Marine Boron
16.24,477,Marine Boron
16.27,278,Marine Boron
16.30,467,Marine Boron
16.33,262,Marine Boron
16.37,502,Marine Boron
16.40,430,Marine Boron
16.42,221,Marine Boron
16.47,532,Marine Boron
16.59,271,Marine Boron
16.65,242,Marine Boron
16.69,236,Marine Boron
16.76,338,Marine Boron
16.98,207,Marine Boron
17.11,252,Marine Boron
2.34,317,Marine Boron
2.35,318,Marine Boron
2.35,306,Marine Boron
2.36,450,Marine Boron
2.37,415,Marine Boron
2.38,371,Marine Boron
2.39,377,Marine Boron
2.41,278,Marine Boron
2.42,332,Marine Boron
2.45,320,Marine Boron
2.47,340,Marine Boron
2.50,357,Marine Boron
2.50,362,Marine Boron
2.52,246,Marine Boron
2.55,335,Marine Boron
2.56,300,Marine Boron
2.58,330,Marine Boron
2.59,362,Marine Boron
2.62,279,Marine Boron
2.62,305,Marine Boron
2.63,245,Marine Boron
2.65,282,Marine Boron
2.66,302,Marine Boron
2.67,263,Marine Boron
2.68,323,Marine Boron
2.69,284,Marine Boron
2.70,276,Marine Boron
2.70,234,Marine Boron
2.70,319,Marine Boron
2.71,262,Marine Boron
2.75,339,Marine Boron
2.75,321,Marine Boron
2.76,358,Marine Boron
2.78,279,Marine Boron
2.80,281,Marine Boron
2.83,317,Marine Boron
2.83,361,Marine Boron
2.84,388,Marine Boron
2.85,308,Marine Boron
2.86,445,Marine Boron
2.91,371,Marine Boron
2.92,377,Marine Boron
2.94,337,Marine Boron
2.95,358,Marine Boron
2.95,419,Marine Boron
2.96,346,Marine Boron
2.98,328,Marine Boron
3.00,369,Marine Boron
3.01,357,Marine Boron
3.03,381,Marine Boron
3.04,419,Marine Boron
3.05,418,Marine Boron
3.06,361,Marine Boron
3.06,413,Marine Boron
3.07,380,Marine Boron
3.09,334,Marine Boron
3.10,319,Marine Boron
3.11,392,Marine Boron
3.13,345,Marine Boron
3.14,334,Marine Boron
3.15,403,Marine Boron
3.16,340,Marine Boron
3.17,452,Marine Boron
3.18,381,Marine Boron
3.19,283,Marine Boron
3.20,331,Marine Boron
3.21,326,Marine Boron
3.22,376,Marine Boron
3.24,423,Marine Boron
3.24,354,Marine Boron
3.25,316,Marine Boron
3.26,348,Marine Boron
3.27,365,Marine Boron
3.28,313,Marine Boron
2.35,369,Marine Boron
2.42,442,Marine Boron
2.50,423,Marine Boron
2.63,402,Marine Boron
2.75,376,Marine Boron
2.83,352,Marine Boron
3.16,525,Marine Boron
3.24,441,Marine Boron
0.54,162,Marine Boron
0.54,281,Marine Boron
0.60,163,Marine Boron
0.62,169,Marine Boron
0.76,175,Marine Boron
0.82,152,Marine Boron
0.86,168,Marine Boron
0.94,183,Marine Boron
1.82,250,Marine Boron
2.74,274,Marine Boron
2.89,481,Marine Boron
3.21,423,Marine Boron
3.66,357,Marine Boron
3.89,507,Marine Boron
4.10,380,Marine Boron
5.19,433,Marine Boron
6.35,332,Marine Boron
53.2,1400,Marine Boron
45.6,1100,Marine Boron
44.4,920,Marine Boron
36.9,770,Marine Boron
40.3,650,Marine Boron
51.9,1868,LIVERWORTS (d13C)
58.8,583,LIVERWORTS (d13C)
70.0,670,LIVERWORTS (d13C)
100.8,797,LIVERWORTS (d13C)
104.1,830,LIVERWORTS (d13C)
104.1,977,LIVERWORTS (d13C)
104.1,1001,LIVERWORTS (d13C)
111.9,654,LIVERWORTS (d13C)
121.9,1051,LIVERWORTS (d13C)
139.3,982,LIVERWORTS (d13C)
161.7,698,LIVERWORTS (d13C)
169.5,637,LIVERWORTS (d13C)
187.7,919,LIVERWORTS (d13C)
205.6,388,LIVERWORTS (d13C)
