Age,CO2,Proxy
130.1,2300,PALEOSOLS (d13C)
134.3,2450,PALEOSOLS (d13C)
365.6,2850,PALEOSOLS (d13C)
365.6,3150,PALEOSOLS (d13C)
402.6,3300,PALEOSOLS (d13C)
421.1,3600,PALEOSOLS (d13C)
377.5,2800,PALEOSOLS (d13C)
385.2,3900,PALEOSOLS (d13C)
54.2,2034,PALEOSOLS (d13C)
54.9,577,PALEOSOLS (d13C)
56.2,1152,PALEOSOLS (d13C)
56.5,1217,PALEOSOLS (d13C)
56.7,1448,PALEOSOLS (d13C)
57.3,2041,PALEOSOLS (d13C)
57.7,1185,PALEOSOLS (d13C)
200.3,2480,PALEOSOLS (d13C)
223.3,2250,PALEOSOLS (d13C)
130.1,560,PALEOSOLS (d13C)
64.8,1000,PALEOSOLS (d13C)
65.3,850,PALEOSOLS (d13C)
65.9,750,PALEOSOLS (d13C)
67.2,1400,PALEOSOLS (d13C)
67.2,750,PALEOSOLS (d13C)
77.1,1200,PALEOSOLS (d13C)
65.2,534,PALEOSOLS (d13C)
65.2,488,PALEOSOLS (d13C)
65.4,264,PALEOSOLS (d13C)
65.6,334,PALEOSOLS (d13C)
65.8,533,PALEOSOLS (d13C)
65.9,161,PALEOSOLS (d13C)
66.1,549,PALEOSOLS (d13C)
66.2,832,PALEOSOLS (d13C)
66.4,271,PALEOSOLS (d13C)
66.5,0,PALEOSOLS (d13C)
66.5,127,PALEOSOLS (d13C)
66.6,45,PALEOSOLS (d13C)
66.6,790,PALEOSOLS (d13C)
66.7,1358,PALEOSOLS (d13C)
66.9,1277,PALEOSOLS (d13C)
66.9,796,PALEOSOLS (d13C)
67.0,657,PALEOSOLS (d13C)
67.0,385,PALEOSOLS (d13C)
68.5,31,PALEOSOLS (d13C)
68.7,512,PALEOSOLS (d13C)
68.8,329,PALEOSOLS (d13C)
69.0,475,PALEOSOLS (d13C)
69.1,415,PALEOSOLS (d13C)
69.3,607,PALEOSOLS (d13C)
69.4,435,PALEOSOLS (d13C)
69.5,1034,PALEOSOLS (d13C)
69.7,611,PALEOSOLS (d13C)
69.9,927,PALEOSOLS (d13C)
70.0,1126,PALEOSOLS (d13C)
70.1,986,PALEOSOLS (d13C)
70.2,365,PALEOSOLS (d13C)
70.3,115,PALEOSOLS (d13C)
70.5,378,PALEOSOLS (d13C)
71.4,763,PALEOSOLS (d13C)
71.5,868,PALEOSOLS (d13C)
71.6,883,PALEOSOLS (d13C)
280.7,500,PALEOSOLS (d13C)
273.7,500,PALEOSOLS (d13C)
83.3,1480,PALEOSOLS (d13C)
182.4,2225,PALEOSOLS (d13C)
232.7,1170,PALEOSOLS (d13C)
242.1,1210,PALEOSOLS (d13C)
279.4,715,PALEOSOLS (d13C)
219.0,1760,PALEOSOLS (d13C)
219.0,1390,PALEOSOLS (d13C)
232.7,290,PALEOSOLS (d13C)
246.1,1160,PALEOSOLS (d13C)
246.1,600,PALEOSOLS (d13C)
92.2,1544,PALEOSOLS (d13C)
300.2,1103,PALEOSOLS (d13C)
299.9,1046,PALEOSOLS (d13C)
299.7,997,PALEOSOLS (d13C)
298.6,773,PALEOSOLS (d13C)
297.9,433,PALEOSOLS (d13C)
296.6,187,PALEOSOLS (d13C)
295.9,190,PALEOSOLS (d13C)
294.3,158,PALEOSOLS (d13C)
293.1,658,PALEOSOLS (d13C)
290.5,1895,PALEOSOLS (d13C)
290.5,1700,PALEOSOLS (d13C)
290.4,1700,PALEOSOLS (d13C)
290.4,1700,PALEOSOLS (d13C)
290.2,1513,PALEOSOLS (d13C)
289.9,1240,PALEOSOLS (d13C)
289.4,514,PALEOSOLS (d13C)
288.9,516,PALEOSOLS (d13C)
287.4,1501,PALEOSOLS (d13C)
287.0,2060,PALEOSOLS (d13C)
286.9,2173,PALEOSOLS (d13C)
285.8,2184,PALEOSOLS (d13C)
285.0,2234,PALEOSOLS (d13C)
284.8,2234,PALEOSOLS (d13C)
284.5,2324,PALEOSOLS (d13C)
283.8,2854,PALEOSOLS (d13C)
283.4,3102,PALEOSOLS (d13C)
282.4,2998,PALEOSOLS (d13C)
281.1,3521,PALEOSOLS (d13C)
277.6,3488,PALEOSOLS (d13C)
210.7,222,PALEOSOLS (d13C)
211.8,816,PALEOSOLS (d13C)
211.8,965,PALEOSOLS (d13C)
210.7,25,PALEOSOLS (d13C)
210.7,90,PALEOSOLS (d13C)
210.7,743,PALEOSOLS (d13C)
211.8,2500,PALEOSOLS (d13C)
211.8,2553,PALEOSOLS (d13C)
